Фото;Товар;Артикул;Производитель;Номер производителя;Раздел;Цена;Валюта;Источник цены;Дата парсинга;URL
https://media.adeo.com/media/1905243/media.png?width=100;Cartucho de gas para candileja SUPER EGO Btp 300 de butano 0.6 litros;82036393;Cartucho;;Equipamiento de emergencia para el hogar;8.85;EUR;extension-list;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/cartucho-de-gas-para-candileja-super-ego-btp-300-de-butano-0-6-litros-82036393.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Batería solar de litio UPOWER 18Ah 12.8V;89876586;;;Equipamiento de emergencia para el hogar;78.99;EUR;extension-list;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/bateria-solar-de-litio-upower-18ah-12-8v-89876586.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;PACK 2 x Bombillas 12/24V AC/DC NATURE-LED-XUNZEL-1W COSY sistemas baja tensión;82330268;Xunzel;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/pack-2-x-bombillas-12-24v-ac-dc-nature-led-xunzel-1w-cosy-sistemas-baja-tension-82330268.html
https://media.adeo.com/mkp/c22c8f35db5a92bf1ac7b727449e8496/media.jpg?width=100;Motorola TALKABOUT T42 two-way radios 16 canales Negro, Rojo;16505062;DiO;;Equipamiento de emergencia para el hogar;35.93;EUR;extension-list;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/motorola-talkabout-t42-two-way-radios-16-canales-negro-rojo-16505062.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Conversor 24VCC a 12VCC DCDC-XUNZEL-20A;14706902;Xunzel;;Equipamiento de emergencia para el hogar;49.95;EUR;extension-list;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/conversor-24vcc-a-12vcc-dcdc-xunzel-20a-14706902.html
https://media.adeo.com/media/1880101/media.png?width=300;Kit solar fotovoltaico para iluminación y carga de móviles ARTE CONFORT Hidra;82051905;;;Equipamiento de emergencia para el hogar;49.99;EUR;extension-list;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/kit-solar-fotovoltaico-para-iluminacion-y-carga-de-moviles-arte-confort-hidra-82051905.html
https://media.adeo.com/media/3921009/media.png?width=300;Regulador MPPT 100V 20A Victron Smart Solar;90106959;VICTRON;;Equipamiento de emergencia para el hogar;89.99;EUR;extension-list;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/regulador-mppt-100v-20a-victron-smart-solar-90106959.html
https://media.adeo.com/media/5374986/media.png?width=300;Generador GENERGY LIMITED 5000 RC – 4500W de salida máxima a 230V – Salida estabilizada AVR – Arranque eléctrico y remoto - Obras, Emergencias y Vivienda Aislada;95219830;Genergy;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/generador-genergy-limited-5000-rc-4500w-de-salida-maxima-a-230v-salida-estabilizada-avr-arranque-electrico-y-remoto-obras-emergencias-y-vivienda-aislada-95219830.html
https://media.adeo.com/media/3888363/media.png?width=100;Interruptor Magnetotérmico 50A 2P 1000V DC;89894156;;;Equipamiento de emergencia para el hogar;22.99;EUR;extension-list;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/interruptor-magnetotermico-50a-2p-1000v-dc-89894156.html
https://media.adeo.com/media/3859711/media.jpg?width=300;Powerbank ultra slim 20.000 mah VEGER;90103746;Powerbank;;Equipamiento de emergencia para el hogar;29.99;EUR;extension-list;06.09.2026, 18:16:44;https://www.leroymerlin.es/productos/powerbank-ultra-slim-20-000-mah-veger-90103746.html
